Exon	Gene	HUGO	ExonNumber	PairwiseTissue	TissueSpecificity
ENSE00001065038	ENSG00000159023	EPB41	29	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00001065039	ENSG00000159023	EPB41	29	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00001442573	ENSG00000143776	CDC42BPA	60	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00000789747	ENSG00000076258	FMO4	9	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00001442566	ENSG00000143776	CDC42BPA	60	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00001211986	ENSG00000143776	CDC42BPA	60	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00001291132	ENSG00000143190	POU2F1	22	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00001422698	ENSG00000143776	CDC42BPA	60	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00001445544	ENSG00000076258	FMO4	9	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00000804316	ENSG00000071054	MAP4K4	35	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00000925811	ENSG00000136717	BIN1	19	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00000925815	ENSG00000136717	BIN1	19	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00000925812	ENSG00000136717	BIN1	19	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00000925822	ENSG00000136717	BIN1	19	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00001236385	ENSG00000136717	BIN1	19	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00001334610	ENSG00000152492	CCDC50	11	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00000713822	ENSG00000109158	GABRA4	8	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00000713823	ENSG00000109158	GABRA4	8	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00000713819	ENSG00000109158	GABRA4	8	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00000713821	ENSG00000109158	GABRA4	8	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00000713820	ENSG00000109158	GABRA4	8	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00000972690	ENSG00000145864	GABRB2	14	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00001085891	ENSG00000145864	GABRB2	14	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00001168677	ENSG00000204305	AGER	26	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00001465646	ENSG00000204305	AGER	26	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00000974829	ENSG00000146276	GABRR1	8	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00001293602	ENSG00000112038	OPRM1	8	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00001357103	ENSG00000112038	OPRM1	8	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
